,date,message,username
0,March 2002,entry level performance luxury sedans are a hot area for car manufacturers and enthusiasts alike these sedans show their performance by being fun to drive and handling well they show luxury by offering leather and some of the important creatures comforts found in the most luxurious upscale sedans the selection of vehicles that compete in the space is vast and varied    the benchmarks which define this are the bmw 330 and the audi audi 30 but there are many contenders such as acura tls chryslerm jaguar xtype infiniti i35 mercedes benz cclass volvo volvo t5 some companies have contenders that emphasize performance lexus lexus or luxury lexus lexus and the field is continously growing with the recent additions being the cadillac cts and infiniti pontiac5    the common charateristics of this entry level perfomance luxury group seem to a price around 30 to 40k us dollars and 060 times between six and eight seconds    with this wide variety of cars targeted at a similar market segment the choices for our own personal car are great but with all these choices it is hard to understand and personally evaluate all these options so this topic has been created to start a discussion on the relative merits and personalities of the cars available in this entry level performance luxury field  tagged sedans buying  selling comparisons general,cybersol
1,March 2002,i personally think that with a few tweaks the c320 could also sit at the top of this group its still more of a entrylevel luxury sedan than mercedes benz would lead you to believe the c320 sport needs to have its suspension retuned to accept 17 inch tires without a harsh ride mb also needs to stop forcing metal trim and black leather on everyone that wants the sport package the c240s 6speed wouldnt hurt either if offered on the c320 though it needs to be fixed first    that said my favorite of the group is gasp the new audi 30 the audi easily has the best interior of any sub40k car combine that with stunning looks and a body that is as rigid as any ever made and you have my personal favorite the single thing i dont like about the audi is the grey trim around the bottom of the car this trim doesnt match any of the body colors as it should be body color anyway this is an excellent car and in my opinion the best there is under 40k the upcoming audi convertible coupe and s4 will all be winners    the bmw 330i is now an old favorite but im of all people starting to tire of the 3series just a bit save the bmw variants i was kind of dissappointed by the 2002 facelift they could have done a little more in the way of styling i hope they do a little more for 2003 with the coupe models    the acura tls is easily my favorite fwd car in this class wonderful engine you actually can hear it and decent handling for a front driver nice price seats and what not not hard to see why the tl is so popular this cars main faults are styling and obvious costcutting in the interior stereo fake wood etc otherwise a standout    lexus lexus nice but not my type of car at all this is one for the buick set the lexus is half baked but has a wonderful chassis styling is also in question here it simply doesnt look like a 35k car grown the interior is gawdawful bet on the next lexus being done right from the start in their defense toyota didnt initially intend for this car to be sold in the us so it was a rush job    the cts holds the greatest unrealized potential here ive seen several now and each time i see one they look better and better again like the c320 lexus the car has interior issues the dash feels like it was made by rubbermaid if youre going to be stingy with wood trim why bother half of the steering wheel in wood and very little anywhere else in the car the seats are very good though as is the handling a work in progress    the pontiac5 looks like it may have a winning chassis but the interior though clean looking seems to be styled about 10 years ago lots of square shapes and flat surfaces another great engine waiting to drive this one    dont really care much for the xtype if i were a jaguar man id be truly pissed at ford and jaguar for this one they are actually selling a fwd xtype in england and ive read where theyre thinking about selling it here hell no the car should have been rwd not awd some will tell you that this was done to compete with audi thats bs awd was the only way to keep the car from being fwd without spending the money to convert the car to rwd it is a good looking car though and that jaguar leaper will be enough for some but this car has to grow on me    the chryslerm is about as close to an audi that american cars come this new chrysler special is truly a good looking car inside and out one problem where is the performance a 255hp car in this class with a 060 time over 8 seconds is not accpetable something is not right here some say engine transmission andor gearing but whatever it is chrysler needs to let some mb engineers have a look at this car the heavier e320 with less power is faster i still like this car but its no lust object once you get past the great styling    m,merc1
2,March 2002,i am debating a new purchase and these two are at the top of my list the price difference between these two is approx 6k nontype s acura is the lexus worth 6k over the tl i dont know because i have never owned a tl but i am mazdar with the lexusprevious generation supposedly the 2002 lexus is a lot better than the previous generation but is it that much better than the tl of great importance to me is initial quality and overall dependability does the tl compare with the lexus in both of these categorys i am not mazdar with the honda co are prices lower than lexus for service work i would appreciate any input on this dilemma from some tl owners,fredvh
3,March 2002,great handling rwd excellent engine and the best warranty around easy winner,blueguydotcom
4,March 2002,and no manual tranny that may not matter to you but it most certainly does matter to me and many other enthusiast drivers    so imo its not even on the board let alone the easy winner,hungrywhale
5,March 2002,one beauty of bmw 3 series is that there are so many models to choose from almost half of all buyers in america dont get the basic rwd 4 door sedan besides having 3 engine and 3 transmission choices you can get coupe convertible awd station wagon and superhigh performance mseries    hungrywhale i concur that having the availability of a manual transmission across the line is absolutely critical,riez
6,March 2002,good grief so you wait 9 months for the manual even with an auto i prefer to every car listed and i never have owned an auto and never thought id enjoy driving a car with an auto thats what value performance and an exceptional engine can do for a car once the g has a stick there is not another sedan under the bmw that id consider,blueguydotcom
7,March 2002,ill give it a fair shot when the manual comes out but im just flatout not interested in an auto i dont care how fast it is its not about the speed its about the driving experience and having more control over the car,hungrywhale
8,March 2002,i understand its not about the speed i really dont care if the car wont do over 100 as i rarely break the buick mark what i do care about is power and with the manual mode on the auto i can get it when i want it will i buy an autoequipped g in all likelihood no i desperately want to drive the 6 speed,blueguydotcom
9,March 2002,it sounds like you know why i wont even put it on my list let alone at the top until the manual comes out,hungrywhale
10,March 2002,is there such a thing as an automaticonly true performance sedan not in my book certainly not in europe or asia only in america is such an oxymoron possible sad    if or when the manual pontiac5 comes out and the coupe version then the pontiac5 will be interesting enough to be a serious contender in this segment,riez
11,March 2002,if i had to rank the entry lux performance sedans here is what i would choose    audi audi 30lots of bang for the buck loads of style and loads of luxury    cadillac cts decent btfb good handling nonlemming style    infinity pontiac5tons of bftb good luxury but completely boring exterior and even more boring of an interior    bmw 325very little bftb excellent handlingbuild qualityresale classy looking but too conservative for me    saab viggenalmost zero bftb spotty build quality but the damn coolest style in the world    everything else is not worth my time,wishnhigh1
12,March 2002,hey my friend dig this in australia the only 5series that can be had with a manual gearbox is the bmw yeah right not the 525i 530i bmw or the 540i they are all automatic only     best regards  shipo,shipo
13,March 2002,is there such a thing as an automaticonly true performance sedan not in my book certainly not in europe or asia only in america is such an oxymoron possible sad  if or when the manual pontiac5 comes out and the coupe version then the pontiac5 will be interesting enough to be a serious contender in this segment    riez i read from your profile that you have a manual bmw 5series but i think you are wrong to not consider a car such as a infiniti pontiac5 to be a serious contender as a performance luxury sedan from your logic then the bmw 3series your wifes or the 5series with the steptronic should not be contenders either thats belittling the infiniti audi lexus acuras bmw etc with automatics    when i return in december from qatar i plan on purchasing a sports sedan im leaning on the pontiac5 but the bmw 330i along with the audi s4 are also contenders imo if the handling of the infiniti is as good as the bmw as some that drove it has stated then it will hard to pass up especially for the price also my first choice will be a manual and infiniti should have the manual out by december i will test drive all three manual and automatics and make my choice from there    i do agree with you that manuals are more fun to drive and that will be my first choice but automatics in this category especially those made by bmw infiniti and others should not be eliminated as performance sedans different flavors for different people    i have been following discussions on many boards and what i have been noticing is that there is so many experts on what is the best sports sedan and most havent even driven the competitors to give an honest opinion this is not aimed at you riez or shipko because your profiles states that you own a bmw already but from what i noticed is that some bmw supportors dont even own a bmw at least not from their profile or they state that they never drove an infiniti pontiac5 but they still make unsupported facts assumptions or opinions on such see the edmunds bmw 3series discussion i hope in your defense reiz that you drove the automatic infiniti pontiac5 to give an opinionated statement that it doesnt classify as a performance sedan i value your opinion and others as well    again im not flaming you but i try to be an informed consumer before i buy anything that is the reason that i will drive every car that im interested in and make my choice from there im also always interested in those opinions from people that own the type of car im shopping for and at least drove it so they can give valid pronegative statements    cheers,mbarto
14,March 2002,i think what riez and i are trying to say is not that automatics perform poorly or that only weenies drive them    but any car that truly holds itself out as a performance sedan needs at least the option of a manual tranny manuals are always faster than automatics and they are almost always the choice of the enthusiast driver    theres nothing at all wrong with automatics but i sure dont want one,hungrywhale
15,March 2002,amen,blueguydotcom
16,March 2002,in this class the best bang for the buck has to be lexus assuming one can live with the styling    i guess im one of the few that likes the old audi styling to the new isnt the new audi pushing 3600 lbs now thats pretty heavy for this class,dave330i
17,March 2002,even at 29k for a 35k msrp lexus i passed on it now i never drove a manual one they werent out yet but even with a manual given the cars horrible drivefeel poor interior and lethargic steering i dont think id go near one theyre not up to audibmwmbinfiniti,blueguydotcom
18,March 2002,never liked a lexus and probably never will i would rather drive the cts there is always something that irritates me about them i would buy the is as a toyota but not a lexusi personally think lexus should have a car in its lineup with this cheap of an interior and with this much sporting character toyota deserves something like it though    also i dont think 215 horsepower for 29k is a lot of bang for the buck considering the pontiac5 is the same price with 260 horsies,wishnhigh1
19,March 2002,i would buy the is as a toyota but not a lexus    how else are they going to get that extra 5k from you then    reasonably equipped pontiac5 goes for 33k or so,dave330i
20,March 2002,i couldnt have said it better myself ill let you lead services    mbarto i most certainly will test a pontiac5 manual if and when it finally comes out i promise automatics make nice luxury sedans and maybe even sporty luxury sedans but not performance sedans or luxury performance sedans i dont even consider the 540ia sport truly worthy though it is as close as one can get in an automatic if i could just get my wife to drive a manual,riez
21,March 2002,thanks riez let me know when you do im sure youll get a chance before i will since i wont return until december i am curious of how it compares to the bmw you can speak from experience so ill value your opinion    it does make a difference being married lol see the latest discussions on the infiniti pontiac5 vs bmw 330i board first im fortunate to have a wife that can drive a manual not that she prefers that her first choice is an automatic but she appreciates the hard work and sacrifice im doing out here and knows that this car is for me first family second of course it helps my cause when i let her buy a new dining room set last month and new living room drapes this month bribes do help whatever i finally decide im sure shell be happy,mbarto
22,March 2002,mbarto as regards the bribes issue youve figured out one of lifes great truism you get what you want so i can get what i want,riez
23,April 2002,so if someone were looking to purchase a new performance luxury sedan today what cars would they have to take a look at and test drive lets say they only had time to look at five    what five would they have to look into,cybersol
24,April 2002,since it has to have a manual transmission and should be rwd awd4wd adds too much weight and complexity and has to be fun to drive hard    1 bmw 3 series manual  2 lexus lexus manual  3 cadillac cts manual  4 lincoln ls6 manual    if you want affordable and can go fwd then add nissan nissan 6speed with lsd and maybe nissan 35se 5speed    try to get car with lsd inline 6s are magnificently smooth engines    possible future car infiniti pontiac5 sedan when it finally gets the 6speed manual,riez
25,April 2002,the tl should be up for redesign in a few years so a tl would be outdated in the not so far future and besides it seems like everyone who drives an acura drives the tl i love the lexus some say it looks bloated i dont think it does at the 34 angle it looks impressive the interior is as nice as a car can get if i had the money i would buy an lexus in a heartbeat i never did like the past ones boring stylingespecially since the last two generations were nearly twins go with the es besides lexus quality is ahead of acuras,coolguyky7
26,April 2002,the new es is a very smart looking car notwithstanding any engine issues though i think there are direct price competitors like the i35 that offer better overall value on paper now i havent driven either new model i did drive the older lexus and it did its job very well they are both great cars lexus for legendary reliability and resale value infiniti for uptodate features,kdshapiro
27,April 2002,umyou left off the infiniti pontiac5 and its bland boring brother the i35 the lexuss competition    29k gets someone a 4 door 260 hp performance entry level luxury sedan with all sorts of goodies,blueguydotcom
28,April 2002,sorry i thought that i had already taken up too much space and i also was getting tired of typing when i check out an infiniti pontiac5 maybe ill post something on it    i always thought the i35s looked all right even if they arent the most exciting cars ever built,jagboyxkr
29,April 2002,go drive one theyre a blast and for the money theyre a steal if someone wants entry level performance luxury at a great price the gs really tough to beat    save for bmw it sort of stands head and shoulders over most of its competition,blueguydotcom
30,April 2002,i cant make a decision i was set on the mb c240 but then i read some postings from people who got lemons now i am starting to think that the audi 30 cvt front wheel drive is what i shoud get any advice low manintenance is what i am looking for  thanks,steffie2jc
31,September 2002,the xtypes structure is 30 more rigid than the previous class leader the bmw 3series    i think the xtype still has a way to go as far as i go before i ever would consider one to be a class leader    while you have a private debate going with riez  my two cents you buy what you buy for the reasons you buy but the trades and mags of barometers you have to read them understand where they intersect with your beliefs and opinions and take it from there    in addition a 40k 330i is almost loaded and a base 330i can be had for 32k at ed plus airfare,kdshapiro
